objectId,updatedAt,createdAt,ACL,Name,Age,time,phone,kaparo,cacke,cackeCode,pices,cackeType,cackeInscr,cackeDescript,prices,kidsNumber,kidsMenu,kidsCetaring,parentMenu,note2,owner
AaWtST9sDF,Sun Feb 13 2022 21:16:09 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 21:16:09 GMT+0200 (Eastern European Standard Time),null,Миро,12,18:30ч.,893237720,50,,,,,,,,,,[],[],[],v6BQjqfZVz
BocNedhtED,Mon Feb 14 2022 01:39:40 GMT+0200 (Eastern European Standard Time),Mon Feb 14 2022 01:39:40 GMT+0200 (Eastern European Standard Time),null,Миро,2,18:30ч.,893237720,50лв.,,,,,,,,,,[],[],[],v6BQjqfZVz
C2wu5cZPwx,Sun Feb 13 2022 18:10:14 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 18:10:14 GMT+0200 (Eastern European Standard Time),null,Миро,2,18:30ч.,893237720,,,,,,,,,,,[],[],[],v6BQjqfZVz
LVBC1cQsYw,Sun Feb 13 2022 17:55:21 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 17:55:21 GMT+0200 (Eastern European Standard Time),null,Миро,2,18:30ч.,893237720,,,,,,,,,,,[],[],[],v6BQjqfZVz
NM05gveYIZ,Sun Feb 13 2022 21:18:44 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 21:18:44 GMT+0200 (Eastern European Standard Time),null,Павлина,12,13:30,893237720,50,,,,,,,,,,[],[],[],v6BQjqfZVz
e4eJ0eEBOE,Sun Feb 13 2022 21:28:03 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 21:28:03 GMT+0200 (Eastern European Standard Time),null,Ефо,41,18:30ч.,0,200,,,,,,,,,,[],[],[],v6BQjqfZVz
fVpZkH6fJQ,Sun Feb 13 2022 17:43:36 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 17:43:36 GMT+0200 (Eastern European Standard Time),null,Миро,2,18:30ч.,893237720,,,,,,,,,,,[],[],[],v6BQjqfZVz
qRFwYe7MfA,Sun Feb 13 2022 21:20:29 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 21:20:29 GMT+0200 (Eastern European Standard Time),null,Павлина,12,3,893237720,50,,,,,,,,,,[],[],[],v6BQjqfZVz
sFaukYQxMR,Sun Feb 13 2022 17:22:02 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 15:35:35 GMT+0200 (Eastern European Standard Time),null,Миро,3,13:30,893237720,40,Попимони,Д2230,16,Шах-Мат,ЧРД Миро 2г.,Пиратска с кораб,66,13,Клуб Сандвич,"[""Детско шампанско: 1бр."",""Пуканки:   2бр"",""Снакс: 2бр.""]","[""К.П. №2 - 2бр."",""ядки 2бр"",""Арабско  плато 1бр.""]","[""Да има балони по земята""]",v6BQjqfZVz
vfdY8ZrAzg,Sun Feb 13 2022 21:41:20 GMT+0200 (Eastern European Standard Time),Sun Feb 13 2022 21:41:20 GMT+0200 (Eastern European Standard Time),null,1,100,3,123456,50лв.,,,,,,,,,,[],[],[],v6BQjqfZVz
